symbol,count,probability
яс,628,0.0007069493
пь,625,0.0007035721
␠ф,624,0.0007024464
дл,623,0.0007013207
сс,615,0.0006923150
мы,613,0.0006900635
уз,612,0.0006889378
ги,611,0.0006878121
еш,609,0.0006855607
ач,601,0.0006765550
ии,597,0.0006720521
щи,596,0.0006709264
гу,594,0.0006686749
зд,588,0.0006619207
уп,578,0.0006506635
пу,574,0.0006461606
жд,573,0.0006450349
пл,564,0.0006349035
яд,564,0.0006349035
йс,562,0.0006326521
ещ,561,0.0006315263
ур,558,0.0006281492
рн,551,0.0006202692
рт,549,0.0006180178
лк,536,0.0006033835
ир,535,0.0006022577
аб,535,0.0006022577
оя,532,0.0005988806
чу,523,0.0005887492
ох,520,0.0005853720
ыт,513,0.0005774920
ца,511,0.0005752406
ды,503,0.0005662348
ян,503,0.0005662348
вр,497,0.0005594805
ою,487,0.0005482234
уб,487,0.0005482234
тя,484,0.0005448462
фи,483,0.0005437205
зо,466,0.0005245834
зы,463,0.0005212062
нс,463,0.0005212062
ге,452,0.0005088234
яж,438,0.0004930633
нт,437,0.0004919376
иг,430,0.0004840576
аф,427,0.0004806805
мя,427,0.0004806805
зя,427,0.0004806805
ыш,413,0.0004649205
чн,412,0.0004637947
юб,409,0.0004604176
ке,407,0.0004581662
нц,401,0.0004514119
шл,397,0.0004469090
ыб,396,0.0004457833
вз,394,0.0004435319
шк,392,0.0004412804
ья,389,0.0004379033
кт,385,0.0004334004
бя,382,0.0004300233
иб,379,0.0004266461
ющ,378,0.0004255204
ея,377,0.0004243947
ью,375,0.0004221433
дь,372,0.0004187661
цу,370,0.0004165147
сч,368,0.0004142633
ьш,364,0.0004097604
дя,361,0.0004063833
ют,353,0.0003973775
зг,353,0.0003973775
ео,350,0.0003940004
фр,340,0.0003827432
рд,335,0.0003771147
кл,332,0.0003737375
йн,328,0.0003692346
рж,327,0.0003681089
тк,326,0.0003669832
ям,323,0.0003636061
ух,322,0.0003624804
шн,320,0.0003602289
иш,311,0.0003500975
ща,299,0.0003365889
сд,297,0.0003343375
лж,297,0.0003343375
сы,294,0.0003309603
юд,293,0.0003298346
шо,287,0.0003230803
ею,283,0.0003185775
дс,281,0.0003163260
шу,280,0.0003152003
ию,279,0.0003140746
пя,278,0.0003129489
иж,277,0.0003118232
цо,275,0.0003095717
ьм,275,0.0003095717
␠ц,271,0.0003050689
зи,269,0.0003028174
зе,264,0.0002971889
ц␠,259,0.0002915603
вп,257,0.0002893089
дт,253,0.0002848060
оф,253,0.0002848060
ец,252,0.0002836803
чк,248,0.0002791774
шь,246,0.0002769260
рг,245,0.0002758003
ын,244,0.0002746746
рв,242,0.0002724231
б␠,240,0.0002701717
ыр,239,0.0002690460
